step,1-1hit,1-2hit,1-3hit,2-1hit,2-2hit,2-3hit,
223,0.0439,0.0430,0.0420,0.0781,0.0430,0.0430,
224,0.0449,0.0430,0.0420,0.0781,0.0439,0.0430,
225,0.0449,0.0430,0.0420,0.0781,0.0439,0.0430,
226,0.0449,0.0430,0.0439,0.0801,0.0439,0.0439,
227,0.0449,0.0449,0.0439,0.0801,0.0439,0.0439,
228,0.0449,0.0449,0.0439,0.0801,0.0439,0.0439,
229,0.0449,0.0449,0.0439,0.0811,0.0439,0.0439,
230,0.0459,0.0449,0.0439,0.0811,0.0449,0.0439,
231,0.0459,0.0449,0.0439,0.0811,0.0449,0.0439,
232,0.0459,0.0449,0.0449,0.0820,0.0449,0.0449,
233,0.0459,0.0459,0.0449,0.0820,0.0449,0.0449,
234,0.0459,0.0459,0.0449,0.0820,0.0449,0.0449,
235,0.0469,0.0459,0.0449,0.0820,0.0449,0.0449,
236,0.0469,0.0459,0.0449,0.0830,0.0459,0.0449,
237,0.0469,0.0459,0.0449,0.0830,0.0459,0.0449,
238,0.0469,0.0459,0.0459,0.0830,0.0459,0.0459,
239,0.0469,0.0469,0.0459,0.0840,0.0459,0.0459,
240,0.0469,0.0469,0.0459,0.0840,0.0459,0.0459,
241,0.0488,0.0469,0.0459,0.0840,0.0479,0.0459,
242,0.0488,0.0469,0.0459,0.0850,0.0479,0.0459,
243,0.0488,0.0469,0.0459,0.0850,0.0479,0.0459,
244,0.0488,0.0469,0.0469,0.0850,0.0479,0.0479,
245,0.0488,0.0479,0.0469,0.0869,0.0479,0.0479,
246,0.0488,0.0479,0.0469,0.0869,0.0479,0.0479,
247,0.0498,0.0479,0.0469,0.0869,0.0488,0.0479,
248,0.0498,0.0479,0.0469,0.0879,0.0488,0.0479,
249,0.0498,0.0479,0.0469,0.0879,0.0488,0.0479,
250,0.0498,0.0479,0.0479,0.0879,0.0488,0.0488,
251,0.0498,0.0488,0.0479,0.0889,0.0488,0.0488,
252,0.0498,0.0488,0.0479,0.0889,0.0488,0.0488,
